Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Market,"May. 12, 2019, 08:04 AM",Main Account,0.01026398 BTC,69.18 EUR,6740.00 EUR,0.18000 EUR,Sell
Market,"May. 12, 2019, 08:23 AM",Main Account,0.09000000 BTC,576.27 EUR,6403.00 EUR,1.45000 EUR,Buy
Market,"May. 12, 2019, 03:42 PM",Main Account,0.09100000 BTC,553.46 EUR,6082.00 EUR,1.39000 EUR,Buy
Market,"May. 12, 2019, 03:42 PM",Main Account,0.00006793 BTC,0.41 EUR,6082.00 EUR,0.01000 EUR,Buy
Market,"May. 13, 2019, 11:29 AM",Main Account,0.09100000 BTC,582.67 EUR,6403.00 EUR,1.46000 EUR,Sell
Market,"May. 13, 2019, 11:29 AM",Main Account,0.00006793 BTC,0.43 EUR,6403.00 EUR,0.01000 EUR,Sell
Market,"May. 13, 2019, 03:08 PM",Main Account,0.09000000 BTC,606.60 EUR,6740.00 EUR,1.52000 EUR,Sell
Market,"May. 13, 2019, 04:06 PM",Main Account,0.05149096 BTC,365.33 EUR,7095.00 EUR,0.92000 EUR,Sell
Market,"May. 16, 2019, 12:56 AM",Main Account,0.05000000 BTC,373.40 EUR,7468.00 EUR,0.94000 EUR,Sell
Market,"May. 16, 2019, 04:48 AM",Main Account,0.09000000 BTC,637.52 EUR,7083.53 EUR,1.60000 EUR,Buy
Market,"May. 17, 2019, 02:57 AM",Main Account,0.09000000 BTC,606.60 EUR,6740.00 EUR,1.52000 EUR,Buy
Market,"May. 17, 2019, 03:01 AM",Main Account,0.09000000 BTC,576.27 EUR,6403.00 EUR,1.45000 EUR,Buy
Market,"May. 17, 2019, 03:09 AM",Main Account,0.09000000 BTC,547.38 EUR,6082.00 EUR,1.37000 EUR,Buy
Market,"May. 17, 2019, 03:14 AM",Main Account,0.03046750 BTC,195.08 EUR,6403.00 EUR,0.49000 EUR,Sell
Market,"May. 17, 2019, 03:14 AM",Main Account,0.05953250 BTC,381.19 EUR,6403.00 EUR,0.96000 EUR,Sell
Market,"May. 19, 2019, 01:20 AM",Main Account,0.09000000 BTC,606.60 EUR,6740.00 EUR,1.52000 EUR,Sell
Market,"May. 19, 2019, 03:32 AM",Main Account,0.09000000 BTC,638.55 EUR,7095.00 EUR,1.60000 EUR,Sell
Market,"May. 22, 2019, 10:05 PM",Main Account,0.09000000 BTC,606.60 EUR,6740.00 EUR,1.52000 EUR,Buy
Market,"May. 23, 2019, 09:46 PM",Main Account,0.09000000 BTC,638.55 EUR,7095.00 EUR,1.60000 EUR,Sell
Market,"May. 26, 2019, 07:33 PM",Main Account,0.09000000 BTC,672.12 EUR,7468.00 EUR,1.69000 EUR,Sell
Market,"May. 27, 2019, 12:07 AM",Main Account,0.02765739 BTC,217.41 EUR,7861.00 EUR,0.55000 EUR,Sell
Market,"May. 30, 2019, 09:16 PM",Main Account,0.10000000 BTC,746.80 EUR,7468.00 EUR,1.87000 EUR,Buy
Market,"Jun. 02, 2019, 12:02 PM",Main Account,0.10000000 BTC,786.10 EUR,7861.00 EUR,1.97000 EUR,Sell
Market,"Jun. 03, 2019, 02:49 PM",Main Account,0.10000000 BTC,746.80 EUR,7468.00 EUR,1.87000 EUR,Buy
Market,"Jun. 04, 2019, 12:03 AM",Main Account,0.04000000 BTC,283.80 EUR,7095.00 EUR,0.71000 EUR,Buy
Market,"Jun. 04, 2019, 12:03 AM",Main Account,0.03000000 BTC,212.85 EUR,7095.00 EUR,0.54000 EUR,Buy
Market,"Jun. 04, 2019, 12:04 AM",Main Account,0.02000000 BTC,141.90 EUR,7095.00 EUR,0.36000 EUR,Buy
Market,"Jun. 04, 2019, 05:44 PM",Main Account,0.09000000 BTC,606.60 EUR,6740.00 EUR,1.52000 EUR,Buy
Market,"Jun. 07, 2019, 07:13 AM",Main Account,0.09000000 BTC,638.55 EUR,7095.00 EUR,1.60000 EUR,Sell
Market,"Jun. 09, 2019, 04:49 PM",Main Account,0.09000000 BTC,606.60 EUR,6740.00 EUR,1.52000 EUR,Buy
Market,"Jun. 10, 2019, 12:03 PM",Main Account,0.02500000 BTC,177.38 EUR,7095.00 EUR,0.45000 EUR,Sell
Market,"Jun. 10, 2019, 12:03 PM",Main Account,0.02500000 BTC,177.38 EUR,7095.00 EUR,0.45000 EUR,Sell
